상품번호,합포량,채널
64cb34250060da0127916264,0.25,
64cb33f2c9e433bf622c4f18,0.1666,
64cb33b773428b7e044f8503,0.25,
64cb33ac2a3ffc74a327f40a,0.2,
64cb33aabbd370db9742c7f8,0.2,
64cb33a8e37073f21b14260e,0.2,
64cb33a7c9e276418d4b3a08,0.2,
64cb33a650ad9c6cb54258b2,0.2,
64cb338dba5face4dae043a8,0.25,
64cb34badc8fd7dccddc22f6,0.5,
64d3398afd81f1662248481f,4,
64cb359d147d3093e387af98,4,
64e30822bfc34b5ea707956e,2,
64e30720c8f68c1d5d9a2c9e,2,
64e30861d3d71e2f8a2bacb8,2,
64e303d01d3d8e5790deb21f,3,
64e308a60d2dd2624dc6641b,2,
64e3038ccc13e183980aa72a,3,
64e307a147a0c142351e044c,2,
64e307e39b7dd7e8cfaa71cd,2,
64e3075eda0efd2c6f1d7143,2,
64e30329cff6794f8b1140cf,3,
64e302de64734a2ecb5a5502,3,
64e306e4e42ce4c606f08e9a,2,
64e306ac6232dac104a11638,2,
64e302789b7dd7e8cfaa205d,4,
64e3066eaa7ce059891df61d,2,
2549280999,0.2,
2549579086,0.25,
2549281002,0.25,
2549525200,0.375,
2549306702,0.25,
2549525195,0.75,
2549280998,0.25,
2549525066,0.5,
2549525153,0.875,
2549525183,0.5,
2549525181,0.25,
2549525372,0.75,
2549525375,0.75,
2549579729,0.375,
2549281146,0.25,
2549281124,0.25,
2549525059,0.5,
2549281003,0.3333333333333333,
2549525074,0.5,
2549281007,0.25,
2549525064,0.4,
2549525166,0.75,
2549525063,0.6666666666666666,
2549525060,0.5,
2549525373,0.6,
2549525465,0.5,
2549579082,0.25,
2549281006,0.125,
2549525376,0.5,
2549579090,0.25,
2549579089,0.5,
2549579327,0.5,
2549579589,0.75,
2549579278,0.5,
2549579358,0.875,
2549579196,0.25,
2549579081,0.25,
2549579198,0.75,
2549579441,0.75,
2549579265,0.4,
2549579084,0.2,
2549579085,0.5,
2549579180,0.5,
2549579261,0.5,
2549579318,0.5,
2549579431,0.6,
2549579178,0.6666666666666666,
2549579167,0.25,
2549579228,0.75,
2549525580,0.75,
2549525370,0.625,
2549579365,0.75,
2549579596,0.625,
2549579194,0.25,
2549579262,0.75,
2549579282,0.125,
2549579237,0.3333333333333333,
2549525620,0.75,
2521359440,3,
2520957066,0.833,
6193570270,0.25,
6193638601,0.125,
6193630216,0.25,
6193611643,0.25,
6193601599,0.25,
6193657375,0.25,
6193644316,0.25,
6193593440,0.25,
6193619082,0.333,
64e2e828cc13e18398091377,0.833,
64e2eaf942783a3fc8f52ebd,0.833,
64e2e7268767af94e84e6930,0.833,
64e2f4e70a7276857ebdf2ea,0.833,
64e2eecb6232dac1049fa92c,0.833,
486839,0.833,
486840,0.833,
486841,0.166,
2566053163,0.5,
2566053293,0.8333333333333333,
2566053213,0.4,
2566055059,0.8,
2566053218,0.75,
2566052992,0.25,
2566053342,0.25,
2566053164,0.16666666666666666,
2566053402,0.6000000000000001,
2566053273,0.6000000000000001,
2566053154,0.8,
2566053001,0.6666666666666666,
2566053193,0.4,
2566053098,0.4,
2566055001,0.2,
2566053231,0.8333333333333333,
2566053150,0.3333333333333333,
2566053220,0.75,
2566053094,0.2,
2566053172,0.8,
2566053680,0.6000000000000001,
2566053548,0.4,
2566053283,0.8,
2566053403,0.3333333333333333,
2566053542,0.5,
2566053259,0.6666666666666666,
2566053086,0.6000000000000001,
2566053340,0.2,
2566053157,0.6000000000000001,
2566053088,0.4,
2566053238,0.8,
2566053090,0.5,
2566053096,0.6000000000000001,
2566053343,0.2,
2566053406,0.5,
6213053030,0.2,
6213066469,0.1666,
6213060665,0.25,
6213082533,0.2,
6213076243,0.2,
2566052993,0.2,
2566052996,0.4,
2566052999,0.16666666666666666,
2566052995,0.2,
2566053002,0.8,
2575371815,0.8333333333333333,
2575371737,0.3333333333333333,
2575371734,0.6666666666666666,
2575371626,0.6666666666666666,
2575371528,0.16666666666666666,
2575371529,0.5,
2575371522,0.8333333333333333,
2575371520,0.5,
2575371519,0.16666666666666666,
2575371523,0.3333333333333333,
2575349702,0.6000000000000001,
2575349619,0.6666666666666666,
2575349475,0.5,
2575349464,0.8,
2575349455,0.3333333333333333,
2575349420,0.3333333333333333,
2575349402,0.6666666666666666,
2575349313,0.75,
2575349345,0.8,
2575349344,0.6000000000000001,
2575349318,0.8,
2575349320,0.6666666666666666,
2575349253,0.75,
2575349249,0.4,
2575349232,0.4,
2575349228,0.3333333333333333,
2575349200,0.6000000000000001,
2575349206,0.2,
2575349207,0.6666666666666666,
2575349196,0.6000000000000001,
2575349189,0.2,
2575349190,0.6666666666666666,
2575349086,0.4,
2575349096,0.25,
2575349075,0.25,
2575349094,0.2,
2575349091,0.8,
2575349089,0.5,
2575349084,0.4,
2575349088,0.6666666666666666,
2575349076,0.3333333333333333,
2575349073,0.3333333333333333,
2575349078,0.3333333333333333,
2575349072,0.2,
6229412492,0.2,
6229428787,0.25,
6229455748,0.3333333333333333,
6229443340,0.3333333333333333,
6229481021,0.16666666666666666,
6229467965,0.3333333333333333,
6226544555,0.2,
2578918192,0.5,
2578918001,0.4,
2578917986,0.8333333333333333,
2578917881,0.25,
2578917875,0.8,
2578917835,0.8,
2578917815,0.5,
2578917608,0.5,
2578917719,0.2,
2578917701,0.4,
2578917688,0.6000000000000001,
2578917694,0.8333333333333333,
2578917695,0.6000000000000001,
2578917630,0.75,
2578917606,0.25,
2578917595,0.4,
2578917579,0.75,
2578917580,0.3333333333333333,
2578917454,0.2,
2578917449,0.6666666666666666,
2578917424,0.8,
2578917422,0.75,
2578917419,0.75,
2578917403,0.6000000000000001,
2578917318,0.8,
2578917277,0.6666666666666666,
2578917301,0.3333333333333333,
2578917296,0.4,
2578917288,0.8,
2578917272,0.8,
2578917280,0.2,
2578917279,0.4,
2578917263,0.3333333333333333,
2578917275,0.5,
2578917273,0.16666666666666666,
2578917182,0.6666666666666666,
2578917178,0.6000000000000001,
2578917155,0.5,
2578917146,0.16666666666666666,
2578917153,0.5,
2578917156,0.6000000000000001,
2578917158,0.6000000000000001,
2578917140,0.25,
2578917149,0.6666666666666666,
2578917134,0.2,
2578917147,0.4,
2578917137,0.2,
2578917138,0.25,
2578917144,0.3333333333333333,
2578917135,0.2,
6239698371,0.167,
6239899373,0.2,
6239917247,0.25,
6239908594,0.2,
6239934513,0.333,
6239925669,0.25,
6239685699,0.2,
2549579624,0.8,
2549525500,0.8,
2549525177,0.75,
2549579093,0.75,
64f7ea5b8f3491495a7687c6,0.25,
64f7eabe7b8f4b3ca67c6810,0.25,
64f7eb3f8863120ba9300f5f,0.2,
64f7e9df9546acc3816223a6,0.333,
650d1fa4d605e873402a8f59,2,
46915,0.2,
46916,0.8333,
46917,0.8333,
46918,0.8333,
46914,0.8333,
46920,0.83333,
47099,0.25,
2848184728,3,
2848185053,3,
2848184967,3,
2848185038,2,
2848184851,2,
2848185272,2,
2848184846,3,
2848184748,2,
2848184730,3,
2848184751,2,
2848184741,2,
2848184736,2,
2848184733,2,
2848184726,3,
2848184856,2,
2848184732,2,
2848184844,3,
2848184731,2,
2848184880,2,
2848184898,3,
2848184897,2,
2848184745,3,
2848184892,3,
2848184744,2,
2848184734,2,
2848185048,2,
2848129715,0.833,
2848175139,0.833,
2848184945,2,
2848184725,2,
653f5226b377ea3a23513748,3,
