상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,수수료raw,옵션번호,옵션명
249772,23-05-01,웅진 맑게 우려낸 누룽지 1.5L 12개,13300.0,19300.0,3000.0,0.0,0.0,,,,4.5,510465,웅진 맑게 우려낸 누룽지 1.5L 12개
249771,21-08,남양 17차 500ml 20개,13600.0,19600.0,3000.0,0.0,0.0,,,,4.5,510464,남양 17차 500ml 20개
249770,31-42-04,환타 파인 캔 250ml 30개,18900.0,24900.0,3000.0,0.0,0.0,,,,4.5,510463,환타 파인 캔 250ml 30개
249769,23-09,웅진 아침햇살 1.5L 12개,24100.0,30100.0,3000.0,0.0,0.0,,,,4.5,510462,웅진 아침햇살 1.5L 12개
249768,31-45,환타 오렌지 페트 600ml 24개,31600.0,37600.0,3000.0,0.0,0.0,,,,4.5,510461,환타 오렌지 페트 600ml 24개
249767,31-46,코카콜라 환타 파인애플맛 600ml 24개,31600.0,37600.0,3000.0,0.0,0.0,,,,4.5,510460,코카콜라 환타 파인애플맛 600ml 24개
249766,31-44-01,환타 파인애플맛 1.5L 12개,22900.0,28900.0,3000.0,0.0,0.0,,,,4.5,510459,환타 파인애플맛 1.5L 12개
249765,29-06,일화 초정 탄산수 500ml 20펫,16500.0,22500.0,3000.0,0.0,0.0,,,,5,510458,일화 초정 탄산수 500ml 20펫
249764,32-13,해태 과일촌 아침에사과 1.5L 12개,29600.0,35600.0,3000.0,0.0,0.0,,,,4.5,510457,해태 과일촌 아침에사과 1.5L 12개
249762,23-54-01,웅진 자연은 요거풋풋사과 1.5L 12개,15800.0,21800.0,3000.0,0.0,0.0,,,,4.5,510455,웅진 자연은 요거풋풋사과 1.5L 12개
