대분류명,중분류명,소분류명,상품코드,관리코드,상품명,규격,박스내품,매입단가,박스매입단가,매출단가,박스매출단가,매익률,최종재고,박스,낱개,최대 주문수량,긴글비고,판매자관리코드,SKU코드
기본 대분류,음료-B동,롯데칠성음료,000220,27-01-02,롯데칠성 핫식스캔 250 (96),(250ml*30),30,543.335,16300.050000000001,716.6667,21500.001,0.319,2670,89,0,0,,,
기본 대분류,음료-B동,롯데칠성음료,000221,27-53,핫식스라이트,250ml*30,30,294.333333333333,8829.999999999989,400,12000,0.359,0,0,0,0,,,
기본 대분류,음료-B동,롯데칠성음료,000222,27-014,롯데칠성 핫식스355ml(99),355ml*24,24,772.1212,18530.9088,837.5,20100,0.0847,576,24,0,0,,,
기본 대분류,음료-B동,롯데칠성음료,000223,27-08,핫식스 자몽캔 250,250ml*30,30,483.3333,14499.999,560,16800,0.1586,0,0,0,0,,,
기본 대분류,통조림-C동,한성,000243,57-02,한성런천미트200(130),200g*24,24,900,21600,1300,31200,0.4444,-321,-13,-9,0,,,
기본 대분류,통조림-C동,한성,000244,57-04,한성런천미트 340 (91),340g*24,24,1510,36240,2000,48000,0.3245,2592,108,0,0,,,
기본 대분류,음료-B동,CJ제일제당,000245,55-07-02,한뿌리(홍삼)120ml,10*4(set),4,19000,76000,22500,90000,0.1842,0,0,0,0,,,
기본 대분류,음료-B동,CJ제일제당,000246,55-06-02,한뿌리 (인삼)120ml,10*4(set),4,16000,64000,22500,90000,0.4062,0,0,0,0,,,
기본 대분류,음료-B동,일화,000247,29-21,한라봉제주감귤175/일화(132),175ml*30,30,243.333333333333,7299.99999999999,300,9000,0.2329,0,0,0,0,,,
기본 대분류,음료-B동,일화,000248,29-30.,한라봉에이드 350 (100),350ml*24,24,416.6667,10000.0008,541.6667,13000.0008,0.3,-1464,-61,0,0,,,
기본 대분류,음료-B동,롯데칠성음료,000249,27-105,한라봉과유자레몬175/롯데칠성,175ml*30,30,340,10200,383,11490,0.1265,0,0,,0,,,
기본 대분류,음료-B동,동화약품,000251,52-21,하인즈칠리소스(캔),3k*6,6,7000,42000,8333,49998,0.1904,0,0,,0,,,
기본 대분류,세제외-A동,세안,000254,36-02,하이썬부탄 (80),4*7,7,2973.1429,20812.0003,4285.7143,30000.000099999997,0.4415,518,74,0,0,,,
기본 대분류,음료-B동,기타음료,000255,34-03.,하이드로토닉(104),300ml*24,24,520.8333,12499.9992,625,15000,0.2,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000272,17-03-03,하리보 프루티부시 100g(24입),100g*24,24,720,17280,1041,24984,0.4458,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000273,17-03-02,하리보 스타믹스 100g(26입),100g*26,26,720,18720,923,23998,0.2819,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000274,17-03,하리보 골드베렌 100g사용중지,100g*30,30,720,21600,800,24000,0.1111,0,0,0,0,,,
기본 대분류,세제외-A동,기타,000275,17-03-01,하리보 골드베렌 100g(26입),100g*26,26,720,18720,923,23998,0.2819,0,0,0,0,,,
기본 대분류,음료-B동,매일유업,000284,20-13,피크닉사과 (171),200ml*24,24,330,7920,375,9000,0.1364,-2088,-87,0,0,,,
기본 대분류,음료-B동,매일유업,000285,20-13-01,피크닉청포도 (171),200ml*24,24,330,7920,375,9000,0.1364,2304,96,0,0,,,
기본 대분류,세제외-A동,피죤,000286,40-09-02,피죤핑크로즈 2100 (40),(2100*2)*4,4,5010,20040,6200,24800,0.2375,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000287,40-09-01,피죤옐로우미모사 2100 (40),(2100*2)*4,4,5010,20040,6200,24800,0.2375,92,23,0,0,,,
기본 대분류,세제외-A동,피죤,000288,40-09,피죤블루비앙카 2100(40),(2100*2)*4,4,5010,20040,6200,24800,0.2375,96,24,0,0,,,
기본 대분류,세제외-A동,피죤,000289,40-10,피죤2900ml*4(핑크로즈)(48),2900ml*4,4,2850.092,11400.368,4000,16000,0.4035,236,59,0,0,,,
기본 대분류,세제외-A동,피죤,000290,40-10-02,피죤2900ml*4(옐로미모사)(48),2900ml*4,4,2645.8177,10583.2708,4000,16000,0.5118,144,36,0,0,,,
기본 대분류,세제외-A동,피죤,000291,40-10-01,피죤2900ml*4(블루비앙카)(48),2900ml*4,4,2645.8177,10583.2708,4000,16000,0.5118,204,51,0,0,,,
기본 대분류,세제외-A동,피죤,000292,40-10-04,피죤2500ml+600ml*4(비앙카),2500ml+600ml*4,4,2375,9500,2750,11000,0.1579,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000293,40-10-05,피죤2500ml+600ml*4(미모사),2500ml+600ml*4,4,2375,9500,2750,11000,0.1579,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000294,40-10-08,피죤2500*500용기(핑크)(48),2500*500*4개,4,2750,11000,3750,15000,0.3636,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000295,40-10-06,피죤2500*500용기(비앙카)(48),(2500*500)*4개,4,2750,11000,4000,16000,0.4545,8,2,0,0,,,
기본 대분류,세제외-A동,피죤,000296,40-10-07,피죤2500*500용기(미모사)(48),2500*500*4개,4,2750,11000,3750,15000,0.3636,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000297,40-11,피죤2.8용기(핑크로즈),2.8*4,4,2250,9000,3000,12000,0.3333,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000298,40-11-03,피죤2.8용기(옐로미모사),2.8*4,4,2250,9000,3000,12000,0.3333,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000299,40-11-02,피죤2.8용기(블루비앙카),2.8*4,4,2250,9000,3000,12000,0.3333,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000300,40-10-10,피죤2.0 말통,20L,1,15000,15000,20000,20000,0.3333,0,0,0,0,,,
기본 대분류,세제외-A동,피죤,000301,40-01,피죤1600(핑크),1.600*2*4,8,1562.5,12500,1937,15496,0.2397,0,0,,0,,,
기본 대분류,세제외-A동,피죤,000302,40-01.,피죤1600(비앙카)블루,1600*2*4,8,1562.5,12500,1937,15496,0.2397,0,0,,0,,,
