ESM카테고리명,사이트카테고리명,사이트,ESM카테고리,사이트카테고리
식품>가공식품>소스/드레싱>케첩/마요네즈,가공식품>소스/드레싱>케첩/마요네즈,G마켓,00030002000900030000,100000036200002366300028703
식품>가공식품>소스/드레싱>파스타소스,가공식품>소스/드레싱>파스타소스,G마켓,00030002000900050000,100000036200002366300024608
식품>가공식품>소스/드레싱>칠리/살사소스,가공식품>소스/드레싱>칠리/살사소스,G마켓,00030002000900060000,100000036200002366300024609
식품>가공식품>소스/드레싱>돈까스/스테이크소스,가공식품>소스/드레싱>돈까스/스테이크소스,G마켓,00030002000900080000,100000036200002366300028701
식품>가공식품>소스/드레싱>굴소스/중화요리소스,가공식품>소스/드레싱>굴소스/중화요리소스,G마켓,00030002000900090000,100000036200002366300024611
식품>가공식품>소스/드레싱>일식/동남아요리소스,가공식품>소스/드레싱>일식/동남아요리소스,G마켓,00030002000900110000,100000036200002366300024612
식품>가공식품>소스/드레싱>기타소스/드레싱,가공식품>소스/드레싱>기타소스/드레싱,G마켓,00030002000900170000,100000036200002366300028700
식품>가공식품>소스/드레싱>샐러드드레싱,가공식품>소스/드레싱>샐러드드레싱,G마켓,00030002000900360000,100000036200002366300028702
식품>가공식품>잼/시럽>과일잼,가공식품>잼/시럽>과일잼,G마켓,00030002001100010000,100000036200002364300024595
식품>가공식품>잼/시럽>기타잼/시럽,가공식품>잼/시럽>기타잼/시럽,G마켓,00030002001100020000,100000036200002364300027773
식품>가공식품>잼/시럽>땅콩/초코잼,가공식품>잼/시럽>땅콩/초코잼,G마켓,00030002001100030000,100000036200002364300012439
식품>가공식품>잼/시럽>초코시럽,가공식품>잼/시럽>초코시럽,G마켓,00030002001100040000,100000036200002364300024598
식품>가공식품>잼/시럽>커피시럽,가공식품>잼/시럽>커피시럽,G마켓,00030002001100050000,100000036200002364300024597
식품>가공식품>잼/시럽>메이플시럽,가공식품>잼/시럽>메이플시럽,G마켓,00030002001100060000,100000036200002364300012422
식품>가공식품>장류>간장,가공식품>장류>간장,G마켓,00030002001200010000,100000036200002368300024618
식품>가공식품>장류>고추장,가공식품>장류>고추장,G마켓,00030002001200020000,100000036200002368300012414
식품>가공식품>장류>된장/쌈장,가공식품>장류>된장/쌈장,G마켓,00030002001200030000,100000036200002368300028676
식품>가공식품>장류>청국장/낫또,가공식품>장류>청국장/낫또,G마켓,00030002001200040000,100000036200002368300024619
식품>가공식품>장류>기타장류,가공식품>장류>기타장류,G마켓,00030002001200080000,100000036200002368300028675
식품>가공식품>유지류>콩기름/대두유,가공식품>식용유/오일>콩기름/대두유,G마켓,00030002001300010000,100000036200001207300012409
식품>가공식품>유지류>올리브유,가공식품>식용유/오일>올리브유,G마켓,00030002001300030000,100000036200001207300004153
식품>가공식품>유지류>포도씨유,가공식품>식용유/오일>포도씨유,G마켓,00030002001300040000,100000036200001207300012411
식품>가공식품>유지류>카놀라유,가공식품>식용유/오일>카놀라유,G마켓,00030002001300050000,100000036200001207300012412
식품>가공식품>유지류>해바라기씨유,가공식품>식용유/오일>해바라기씨유,G마켓,00030002001300060000,100000036200001207300024643
식품>가공식품>유지류>참기름,가공식품>식용유/오일>참기름,G마켓,00030002001300080000,100000036200001207300012408
식품>가공식품>유지류>들기름,가공식품>식용유/오일>들기름,G마켓,00030002001300090000,100000036200001207300024644
식품>가공식품>유지류>기타유지류,가공식품>식용유/오일>기타식용유/오일,G마켓,00030002001300120000,100000036200001207300024646
식품>가공식품>유가공품>생크림/휘핑크림,가공식품>치즈/버터/크림>생크림/휘핑크림,G마켓,00030002001400010000,100000036200001209300021911
식품>가공식품>유가공품>치즈,가공식품>치즈/버터/크림>치즈,G마켓,00030002001400030000,100000036200001209300012424
식품>가공식품>유가공품>버터/마가린,가공식품>치즈/버터/크림>버터/마가린,G마켓,00030002001400040000,100000036200001209300012425
식품>가공식품>어육/연식품>어육제품>어묵/맛살,가공식품>수산가공식품>어묵/맛살,G마켓,00030002001500010001,100000036200002930300028705
식품>가공식품>어육/연식품>어육제품>핫바,가공식품>수산가공식품>핫바,G마켓,00030002001500010003,100000036200002930300028706
식품>가공식품>어육/연식품>연식품>두부/묵,신선식품>반찬>두부/묵,G마켓,00030002001500020001,100000020200001222300020127
식품>가공식품>어육/연식품>연식품>곤약식품,건강식품>다이어트식품>곤약식품,G마켓,00030002001500020005,100000068200001197300012536
식품>가공식품>김치/절임/반찬류>김치>갓김치,신선식품>김치>갓김치,G마켓,00030002001700010001,100000020200000221300024551
식품>가공식품>김치/절임/반찬류>김치>겉절이,신선식품>김치>겉절이,G마켓,00030002001700010002,100000020200000221300018830
식품>가공식품>김치/절임/반찬류>김치>기타김치,신선식품>김치>기타김치,G마켓,00030002001700010003,100000020200000221300024554
식품>가공식품>김치/절임/반찬류>김치>깍두기,신선식품>김치>깍두기,G마켓,00030002001700010004,100000020200000221300024553
식품>가공식품>김치/절임/반찬류>김치>동치미,신선식품>김치>동치미,G마켓,00030002001700010005,100000020200000221300008108
식품>가공식품>김치/절임/반찬류>김치>묵은지,신선식품>김치>묵은지,G마켓,00030002001700010006,100000020200000221300024549
식품>가공식품>김치/절임/반찬류>김치>백김치,신선식품>김치>백김치,G마켓,00030002001700010007,100000020200000221300024550
식품>가공식품>김치/절임/반찬류>김치>열무김치,신선식품>김치>열무김치,G마켓,00030002001700010008,100000020200000221300008082
식품>가공식품>김치/절임/반찬류>김치>오이소박이,신선식품>김치>오이소박이,G마켓,00030002001700010009,100000020200000221300018829
식품>가공식품>김치/절임/반찬류>김치>절임배추,신선식품>김치>절임배추,G마켓,00030002001700010010,100000020200000221300009781
식품>가공식품>김치/절임/반찬류>김치>총각김치,신선식품>김치>총각김치,G마켓,00030002001700010011,100000020200000221300008092
식품>가공식품>김치/절임/반찬류>김치>파김치/부추김치,신선식품>김치>파김치/부추김치,G마켓,00030002001700010012,100000020200000221300024552
식품>가공식품>김치/절임/반찬류>김치>포기김치,신선식품>김치>포기김치,G마켓,00030002001700010013,100000020200000221300001910
식품>가공식품>김치/절임/반찬류>절임식품>게장,신선식품>반찬>게장,G마켓,00030002001700020001,100000020200001222300012600
식품>가공식품>김치/절임/반찬류>절임식품>단무지/무쌈,신선식품>반찬>단무지/무쌈,G마켓,00030002001700020002,100000020200001222300020128
식품>가공식품>김치/절임/반찬류>절임식품>새우장/전복장,신선식품>반찬>새우장/전복장,G마켓,00030002001700020003,100000020200001222300020126
식품>가공식품>김치/절임/반찬류>절임식품>절임반찬류,신선식품>반찬>절임반찬류,G마켓,00030002001700020005,100000020200001222300012602
식품>가공식품>김치/절임/반찬류>반찬류>기타반찬류,신선식품>반찬>기타반찬류,G마켓,00030002001700030001,100000020200001222300027812
식품>가공식품>김치/절임/반찬류>반찬류>조림반찬류,신선식품>반찬>조림반찬류,G마켓,00030002001700030002,100000020200001222300018833
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>기타젓갈류,신선식품>젓갈류/액젓>기타젓갈류,G마켓,00030002001700040001,100000020200001820300020125
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>명란/창난젓,신선식품>젓갈류/액젓>명란/창난젓,G마켓,00030002001700040002,100000020200001820300020121
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>새우/토하젓,신선식품>젓갈류/액젓>새우/토하젓,G마켓,00030002001700040003,100000020200001820300020122
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>액젓,신선식품>젓갈류/액젓>액젓,G마켓,00030002001700040004,100000020200001820300029017
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>오징어/낙지젓,신선식품>젓갈류/액젓>오징어/낙지젓,G마켓,00030002001700040005,100000020200001820300020123
식품>가공식품>김치/절임/반찬류>액젓/젓갈류>조개젓,신선식품>젓갈류/액젓>조개젓,G마켓,00030002001700040006,100000020200001820300024569
식품>가공식품>분말류>밀가루,가공식품>밀가루/믹스류>밀가루,G마켓,00030002001800010000,100000036200002367300024614
식품>가공식품>분말류>튀김/부침가루,가공식품>밀가루/믹스류>튀김/부침가루,G마켓,00030002001800020000,100000036200002367300024615
식품>가공식품>분말류>빵가루,가공식품>밀가루/믹스류>빵가루,G마켓,00030002001800040000,100000036200002367300024616
식품>가공식품>분말류>전분,가공식품>밀가루/믹스류>전분,G마켓,00030002001800050000,100000036200002367300024617
식품>가공식품>분말류>기타분말류,가공식품>밀가루/믹스류>기타밀가루/믹스류,G마켓,00030002001800100000,100000036200002367300028698
식품>가공식품>분말류>베이킹믹스,가공식품>밀가루/믹스류>베이킹믹스,G마켓,00030002001800110000,100000036200002367300009605
식품>가공식품>즉석조리/편의식>즉석밥,가공식품>즉석밥>즉석밥,G마켓,00030002001900010000,100000036200001211300012566
식품>가공식품>즉석조리/편의식>컵밥/덮밥,가공식품>즉석밥>컵밥/덮밥,G마켓,00030002001900030000,100000036200001211300018264
식품>가공식품>즉석조리/편의식>누룽지,가공식품>즉석밥>누룽지,G마켓,00030002001900040000,100000036200001211300028733
식품>가공식품>즉석조리/편의식>죽/스프,가공식품>즉석밥>죽/스프,G마켓,00030002001900050000,100000036200001211300024651
식품>가공식품>즉석조리/편의식>떡볶이,가공식품>냉동/간편조리식품>떡볶이,G마켓,00030002001900080000,100000036200000642300019300
식품>가공식품>즉석조리/편의식>볶음밥,가공식품>즉석밥>볶음밥,G마켓,00030002001900090000,100000036200001211300012431
식품>가공식품>즉석조리/편의식>카레/짜장,가공식품>냉동/간편조리식품>카레/짜장,G마켓,00030002001900100000,100000036200000642300028696
식품>가공식품>즉석조리/편의식>즉석국/탕,가공식품>냉동/간편조리식품>즉석국/탕,G마켓,00030002001900120000,100000036200000642300028692
식품>가공식품>즉석조리/편의식>즉석찌개/찜,가공식품>냉동/간편조리식품>찌개/찜,G마켓,00030002001900130000,100000036200000642300028694
식품>가공식품>즉석조리/편의식>유부초밥/김밥/주먹밥,가공식품>냉동/간편조리식품>유부초밥/김밥/주먹밥,G마켓,00030002001900140000,100000036200000642300028691
식품>가공식품>즉석조리/편의식>샐러드,가공식품>냉동/간편조리식품>샐러드,G마켓,00030002001900170000,100000036200000642300021913
식품>가공식품>즉석조리/편의식>만두,가공식품>냉동/간편조리식품>만두,G마켓,00030002001900190000,100000036200000642300008265
식품>가공식품>즉석조리/편의식>피자,가공식품>냉동/간편조리식품>피자,G마켓,00030002001900200000,100000036200000642300024642
